sense_type,source_id,target_id
synonym,09296806,06010616
varword,09296806,10015206
antonym,09296801,06512202
antonym,09296801,06748402
synonym,09296801,06010602
varword,09296801,10015201
varword,09296802,10015202
antonym,09296803,06512207
antonym,09296803,06748405
synonym,09296803,06010609
varword,09296803,10015203
antonym,09296902,07048401
synonym,09297001,05231407
synonym,09297001,06585923
synonym,09297001,06522707
synonym,09297001,09288701
synonym,09297002,05231404
synonym,09297002,06644003
synonym,09297002,06719502
synonym,09297002,06602902
synonym,09297003,05231408
synonym,09297003,06719503
synonym,09297201,09297401
synonym,09297304,05229190
synonym,09297602,07079208
synonym,09297701,05105801
synonym,09297702,05227005
synonym,09297702,05230103
synonym,09297702,05105802
synonym,09297702,06673803
synonym,09297703,05227008
synonym,09297703,04164901
synonym,09297703,05105803
synonym,09297704,05227009
synonym,09297704,05105804
synonym,09297705,05227013
synonym,09297705,05223809
synonym,09297705,06535105
synonym,09297705,08023007
synonym,09297705,07081907
synonym,09297705,05105805
synonym,09297706,05227018
synonym,09297706,03006403
synonym,09297706,05105806
synonym,09297707,05227019
synonym,09297707,03008210
synonym,09297707,05105807
synonym,09297708,05227020
synonym,09297708,03006404
synonym,09297708,05105808
synonym,09297709,05227021
synonym,09297709,05225913
synonym,09297709,05105809
synonym,09297709,03017701
synonym,09297710,05227022
synonym,09297710,05105810
synonym,09297711,05105811
synonym,09297712,05227027
synonym,09297712,05105812
synonym,09297713,05227028
synonym,09297713,05105813
synonym,09297801,06645103
synonym,09297902,07074902
synonym,09297902,09287901
synonym,09298201,06032205
synonym,09298202,06722201
synonym,09298202,06034904
synonym,09298202,06750701
synonym,09298202,07024503
synonym,09298202,08031101
synonym,09298302,05118902
synonym,09298302,06544702
synonym,09298302,09298402
synonym,09298401,05118901
synonym,09298401,06544701
synonym,09298401,06587301
synonym,09298401,06552701
synonym,09298402,05118902
synonym,09298402,06544702
synonym,09298501,06708302
synonym,09298501,08031402
synonym,09298501,07029201
synonym,09298501,05220801
synonym,09298501,05239801
synonym,09298501,07027501
antonym,09298601,09301201
antonym,09298602,09301202
synonym,09298702,03017402
synonym,09298702,04015506
synonym,09298902,03014502
synonym,09299005,06002003
synonym,09299102,05115507
antonym,09299301,03018212
antonym,09299301,04143912
antonym,09299301,06630511
antonym,09299301,04143801
synonym,09299301,03033714
synonym,09299301,06551012
synonym,09299301,03050502
synonym,09299301,03056802
synonym,09299301,07024802
synonym,09299301,07028902
synonym,09299301,07025602
synonym,09299301,09288805
synonym,09299301,06627507
antonym,09299302,03033713
antonym,09299302,05195608
antonym,09299302,06551011
antonym,09299302,06627509
antonym,09299302,09288803
synonym,09299302,03018211
synonym,09299302,03056402
synonym,09299302,04084802
synonym,09299302,04143911
synonym,09299302,05096701
synonym,09299302,06630510
synonym,09299302,04143801
synonym,09299302,06570008
synonym,09299302,06739003
synonym,09299302,07025801
synonym,09299302,03050102
synonym,09299302,04084702
nearsynonym,09299402,pwn_10746660N
synonym,09299501,04018901
synonym,09299501,06564504
synonym,09299501,09144701
synonym,09299502,06754303
synonym,09299502,06564505
synonym,09299502,06559214
synonym,09299502,06697106
synonym,09299502,09144702
synonym,09299502,09030906
synonym,09299502,05235202
synonym,09299502,09024802
synonym,09299502,09037601
synonym,09299502,09147907
synonym,09299502,09236507
synonym,09299502,09309901
synonym,09299502,04018902
synonym,09299503,04018903
synonym,09299504,04018904
synonym,09299701,05110103
synonym,09299704,05110105
hypernym,10009801,05235801
synonym,10010101,06558601
synonym,10010101,10010201
synonym,10010103,05230712
hypernym,10010601,14585601
synonym,10010703,10013501
synonym,10010901,04135601
synonym,10010901,04136301
hypernym,10011201,09291401
hypernym,10011202,06668001
synonym,10011401,07118101
synonym,10012202,06620801
synonym,10012202,06698003
synonym,10012202,06697301
synonym,10012202,09158704
synonym,10012204,03035301
synonym,10012301,07081903
synonym,10012301,08023003
hyponym,10012301,pwn_10656399N
hyponym,10012401,pwn_10731519N
hyponym,10012401,pwn_10779108N
hypernym,10012501,05226801
hypernym,10012601,05226801
nearsynonym,10012702,pwn_00117887V
synonym,10012802,06761002
synonym,10012803,06761003
synonym,10012902,06697303
hypernym,10012902,pwn_02313137N
hypernym,10012902,06612701
synonym,10013201,06706702
synonym,10013201,04015402
synonym,10013201,04000701
synonym,10013201,06549202
synonym,10014001,08040302
synonym,10014401,05228301
synonym,10014501,06637101
synonym,10014502,06637103
synonym,10014502,06738908
synonym,10014502,07105404
hypernym,10014801,05226801
synonym,10014901,05236101
synonym,10014901,09018004
synonym,10014901,09127401
synonym,10015001,07063202
synonym,10015001,06746401
synonym,10015002,06746402
antonym,10015201,06512202
antonym,10015201,06748402
synonym,10015201,06010602
antonym,10015203,06512207
antonym,10015203,06748405
synonym,10015203,06010609
antonym,10015204,06748407
synonym,10015204,06010611
antonym,10015205,06748409
synonym,10015205,06010613
antonym,10015206,06748413
synonym,10015206,06010616
antonym,10015502,06637902
antonym,10008402,09306502
synonym,10008402,09289102
antonym,10008404,09306506
synonym,10008404,09289104
antonym,10008406,09306507
synonym,10008406,09289105
antonym,10008407,09306508
synonym,10008407,09289106
hyponym,10008801,06674901
hyponym,10008801,07042501
synonym,10008901,06763303
synonym,10008901,07065602
synonym,10008902,06763302
synonym,10009101,06019309
synonym,10009101,07010201
antonym,10009201,03015502
synonym,10009501,07028701
synonym,10009501,08005001
synonym,10009501,06662101
synonym,10009501,05121906
synonym,10009501,06772601
synonym,10009502,07028702
synonym,10009502,08005002
synonym,10009502,06638603
synonym,10009502,06772602
synonym,10009703,06680602
varword,10015601,06625601
synonym,10015701,07063702
synonym,10015701,07053302
synonym,10015701,07051411
synonym,10015701,07066001
synonym,10015804,06605104
synonym,10015804,06571302
synonym,10015804,06710605
synonym,10015804,06773403
synonym,10015804,09261207
synonym,10015804,06700307
varword,10015901,05193401
varword,10015902,05193401
varword,10016102,08056901
synonym,10016201,06606601
synonym,10016202,06606602
antonym,10016203,06610104
synonym,10016203,06606603
synonym,10016203,06706903
synonym,10016203,06648204
synonym,10016203,08038203
synonym,10016203,07063804
synonym,10016203,10016403
synonym,10016203,09291102
synonym,10016304,05159504
synonym,10016304,05139502
synonym,10016403,06606603
synonym,10016403,06648204
synonym,10016403,06706903
synonym,10016403,08038203
synonym,10016403,07063804
synonym,10016403,09291102
synonym,10016502,07026101
synonym,10016502,06617401
synonym,10016601,07038205
synonym,10017101,05143401
synonym,10017101,08004302
synonym,10017101,06533801
synonym,10017102,08004301
synonym,10017102,06538001
synonym,10017601,09246901
synonym,10017602,09246903
synonym,10018101,07073603
synonym,10018801,06638901
synonym,10018801,07030301
synonym,10019101,04075901
varword,10019201,09287101
varword,08024203,09122404
synonym,08024502,07046306
antonym,08024801,06562801
antonym,08024801,09055402
synonym,08024801,03032301
synonym,08024801,06649111
synonym,08024801,06026301
synonym,08024801,07036301
synonym,08024801,07074601
synonym,08024801,06527901
synonym,08024801,06634801
synonym,08025402,08011502
hypernym,08025601,06582901
synonym,08025704,05228204
synonym,08026301,05105401
hypernym,08026301,05081401
