relation_type,source_id,target_id,direction
synonym,03002701,07082702,forward
synonym,03002701,09099402,forward
generic,03002701,pwn_00440431V,forward
synonym,03002702,09099403,forward
generic,03002702,pwn_05317127N,forward
generic,03002901,pwn_00143719V,forward
generic,03002902,pwn_00142881V,forward
generic,03002903,pwn_02721308A,forward
generic,03003001,pwn_10131905N,forward
hypernym,03003001,06523501,forward
varword,03003101,03003201,forward
synonym,03003102,04000602,forward
synonym,03003102,04159701,forward
synonym,03003102,04159801,forward
synonym,03003102,04159601,forward
synonym,03003102,05021001,forward
synonym,03003102,07024003,forward
varword,03003102,03003202,forward
varword,03003201,03003101,forward
synonym,03003202,04000602,forward
synonym,03003202,04159701,forward
synonym,03003202,04159801,forward
synonym,03003202,04159601,forward
synonym,03003202,05021001,forward
synonym,03003202,07024003,forward
varword,03003202,03003102,forward
has_facet,03003301,0300330101,forward
has_facet,03003301,0300330102,forward
generic,03003301,pwn_01573839V,forward
generic,03003302,pwn_09553033N,forward
has_facet,03003401,0300340101,forward
has_facet,03003401,0300340102,forward
generic,03003401,pwn_00790940V,forward
synonym,03003501,05224601,forward
synonym,03003501,06775701,forward
synonym,03003501,06649701,forward
generic,03003501,pwn_01299603V,forward
generic,03003502,pwn_00244173V,forward
synonym,03003503,141729,forward
generic,03003503,pwn_00187356N,forward
varword,03003503,03003501,forward
synonym,03003504,141257,forward
generic,03003504,pwn_10044643N,forward
generic,03003505,pwn_10983365N,forward
hypernym,03003506,06667101,forward
generic,03003601,pwn_03733698N,forward
synonym,03003701,05075701,forward
synonym,03003701,06032209,forward
generic,03003701,pwn_03296757N,forward
varword,03003701,04081701,forward
hypernym,03003701,06719301,forward
antonym,03003702,03035101,forward
antonym,03003702,06727301,forward
antonym,03003702,06727501,forward
antonym,03003702,04046201,forward
antonym,03003702,03056001,forward
antonym,03003702,05173501,forward
antonym,03003702,05081201,forward
antonym,03003702,07085408,forward
antonym,03003702,05100805,forward
generic,03003702,pwn_00491270A,forward
varword,03003702,04081702,forward
synonym,03003901,05196201,forward
synonym,03003901,05196501,forward
synonym,03003901,05128201,forward
synonym,03003901,05095904,forward
synonym,03003901,08058401,forward
synonym,03003901,06751601,forward
synonym,03003901,06614201,forward
synonym,03003901,05143703,forward
synonym,03003901,04030007,forward
synonym,03003901,05013301,forward
synonym,03003901,04032001,forward
generic,03003901,pwn_00027877R,forward
has_facet,03003902,0300390201,forward
has_facet,03003902,0300390202,forward
generic,03003902,pwn_00003737R,forward
generic,03004001,pwn_01828025A,forward
generic,03004003,pwn_02316674A,forward
has_facet,03004101,0300410101,forward
has_facet,03004101,0300410102,forward
generic,03004101,pwn_00944348A,forward
generic,03004201,pwn_00153477R,forward
generic,03004301,pwn_01734987V,forward
generic,03004401,pwn_00138666A,forward
synonym,03004501,05061801,forward
hypernym,03004501,04002001,forward
hypernym,03004501,05072402,forward
hypernym,03004501,06586503,forward
generic,03004501,pwn_00022819R,forward
synonym,03004701,07060901,forward
generic,03004701,pwn_04360292N,forward
hypernym,03004701,14576201,forward
has_facet,03004801,0300480101,forward
has_facet,03004801,0300480102,forward
generic,03004801,pwn_00740926V,forward
synonym,03004901,09186902,forward
generic,03004901,pwn_01444459V,forward
generic,03004902,pwn_01444459V,forward
synonym,03005001,06574702,forward
generic,03005001,pwn_02700186N,forward
synonym,03005003,06730809,forward
